City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
285,pa daet,19.5049,99.9924,79.52,51,85,2.95,overcast clouds,TH
286,kununurra,-15.7667,128.7333,84.18,34,59,17.27,broken clouds,AU
287,macau,22.2006,113.5461,85.06,94,40,8.05,light rain,MO
288,ketchikan,55.3422,-131.6461,48.18,93,100,6.31,moderate rain,US
289,zhigansk,66.7697,123.3711,66.47,52,100,6.02,overcast clouds,RU
290,bosobolo,4.1833,19.9,69.6,97,56,2.51,light rain,CD
291,faanui,-16.4833,-151.75,81.27,73,59,10.25,broken clouds,PF
292,general salgado,-20.6483,-50.3606,67.93,46,16,4.97,few clouds,BR
293,cabedelo,-6.9811,-34.8339,76.87,79,22,9.31,few clouds,BR
294,tynda,55.1667,124.7167,69.17,35,23,12.53,few clouds,RU
295,gap,44.6667,6.0,43.07,87,55,3.13,broken clouds,FR
296,mecca,21.4267,39.8261,82.04,66,2,4.25,clear sky,SA
297,egvekinot,66.3167,-179.1667,33.28,58,67,5.08,broken clouds,RU
298,yulara,-25.2406,130.9889,60.48,45,100,13.33,overcast clouds,AU
299,plettenberg bay,-34.0527,23.3716,54.14,60,82,4.45,broken clouds,ZA
300,nicoya,10.1483,-85.452,77.85,86,40,3.15,scattered clouds,CR
301,mirabad,30.4362,61.8383,90.36,15,0,7.11,clear sky,AF
302,tura,25.5198,90.2201,81.3,81,2,5.53,clear sky,IN
303,kungurtug,50.5994,97.5228,68.36,37,92,2.28,overcast clouds,RU
304,bani,18.2833,-70.3333,77.86,80,100,10.56,overcast clouds,DO
305,bandarbeyla,9.4942,50.8122,78.98,80,100,18.21,overcast clouds,SO
306,katsuura,35.1333,140.3,72.19,92,100,27.98,moderate rain,JP
307,edremit,39.5961,27.0244,57.18,84,14,6.08,few clouds,TR
308,englewood,39.6478,-104.9878,79.41,35,10,1.01,clear sky,US
309,anadyr,64.75,177.4833,39.7,64,20,17.0,few clouds,RU
310,constitucion,-35.3333,-72.4167,56.64,91,100,7.07,overcast clouds,CL
311,gurgentepe,40.7883,37.6017,42.19,80,7,5.7,clear sky,TR
312,camana,-16.6228,-72.7111,63.34,84,58,1.19,broken clouds,PE
313,guerrero negro,27.9769,-114.0611,65.28,74,0,13.71,clear sky,MX
314,the valley,18.217,-63.0578,81.1,75,78,19.91,broken clouds,AI
315,davidson,36.1501,-86.7833,71.02,82,1,0.0,clear sky,US
316,batagay,67.6333,134.6333,77.11,31,100,11.36,overcast clouds,RU
317,tigre,-34.426,-58.5796,63.05,74,36,1.99,scattered clouds,AR
318,kurumkan,54.3,110.3,71.87,42,1,3.91,clear sky,RU
319,hassleholm,56.1591,13.7664,53.26,81,90,5.91,overcast clouds,SE
320,hualmay,-11.0964,-77.6139,63.91,84,45,6.4,scattered clouds,PE
321,ratnagiri,16.9833,73.3,80.96,84,98,9.19,light rain,IN
322,mandalgovi,45.7625,106.2708,58.35,43,0,3.69,clear sky,MN
323,iguguno,-4.5697,34.6275,61.11,79,99,7.0,overcast clouds,TZ
324,abis,9.7173,122.9438,86.16,62,100,2.55,overcast clouds,PH
325,biak,-0.9131,122.8766,81.32,76,100,7.25,overcast clouds,ID
326,gorontalo,0.5412,123.0595,87.46,63,68,5.46,broken clouds,ID
327,uporovo,56.3109,66.2693,45.25,55,3,15.79,clear sky,RU
328,benghazi,32.1167,20.0667,70.65,56,6,14.58,clear sky,LY
329,bafq,31.6128,55.4107,88.97,10,0,5.61,clear sky,IR
330,plaster rock,46.9065,-67.39,60.08,98,100,9.1,moderate rain,CA
331,soe,-9.8607,124.284,79.61,53,43,7.54,scattered clouds,ID
332,husavik,66.0449,-17.3389,42.71,61,90,6.44,overcast clouds,IS
333,beyneu,45.3167,55.2,75.06,50,0,14.61,clear sky,KZ
334,khed brahma,24.0333,73.05,85.44,66,0,10.54,clear sky,IN
335,chifeng,42.2683,118.9636,65.77,37,67,15.41,broken clouds,CN
336,shingu,33.7333,135.9833,74.91,96,100,16.53,heavy intensity rain,JP
337,sidi ali,36.0998,0.4206,65.8,90,92,4.29,overcast clouds,DZ
338,ola,59.5833,151.2833,41.86,87,100,5.77,overcast clouds,RU
339,petrovsk,52.3064,45.3917,53.2,70,100,19.01,overcast clouds,RU
340,dingle,10.9995,122.6711,86.92,70,75,6.04,broken clouds,PH
341,pout,14.7739,-17.0603,75.96,73,97,10.85,overcast clouds,SN
342,lac du bonnet,50.2536,-96.0612,70.75,74,32,1.01,scattered clouds,CA
343,mandan,46.8267,-100.8896,88.81,35,1,5.75,clear sky,US
344,richards bay,-28.783,32.0377,60.8,70,97,17.27,light rain,ZA
345,hengshui,37.7322,115.7011,89.64,12,0,16.08,clear sky,CN
346,ostrovnoy,68.0531,39.5131,61.36,58,97,14.85,overcast clouds,RU
347,qui nhon,13.7667,109.2333,91.33,57,100,6.76,overcast clouds,VN
348,vestmanna,62.1564,-7.1664,47.32,100,75,9.64,broken clouds,FO
349,odessa,46.4775,30.7326,51.73,93,0,6.71,clear sky,UA
350,fort nelson,58.8053,-122.7002,71.22,23,95,7.38,overcast clouds,CA
351,fukue,32.6881,128.8419,67.75,78,100,17.18,overcast clouds,JP
352,gat,31.61,34.7642,66.88,76,18,0.43,few clouds,IL
353,yerbogachen,61.2767,108.0108,69.33,52,100,3.91,overcast clouds,RU
354,hobyo,5.3505,48.5268,78.03,88,100,20.67,overcast clouds,SO
355,boguchany,58.3814,97.4531,52.27,94,100,3.56,light rain,RU
356,sokode,8.9833,1.1333,72.43,90,50,4.07,scattered clouds,TG
