City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,labuhan,ID,84.96,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
498,touros,BR,74.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
507,fort-shevchenko,KZ,71.15,clear sky,44.5086,50.263,Oasis hotel Bautino
508,fortuna,US,77.18,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
509,dawlatabad,AF,89.56,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
510,meulaboh,ID,79.99,light rain,4.1363,96.1285,Kost Pria
513,banda aceh,ID,83.1,overcast clouds,5.5577,95.3222,Sulthan Hotel International
517,chunskiy,RU,72.64,broken clouds,56.0815,99.6342,Odisseya
520,saint-pierre,RE,71.24,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
525,puebloviejo,CO,81.59,overcast clouds,10.9938,-74.2844,The Journey Hostel
527,moanda,GA,70.72,clear sky,-1.5575,13.2178,Heliconia Stadium Moanda
529,kieta,PG,83.25,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
531,alugan,PH,84.88,overcast clouds,12.2188,125.4808,JM Lodge
533,jiwani,PK,84.56,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
535,gombong,ID,84.83,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
536,santa cruz,BO,75.6,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
538,batagay-alyta,RU,74.86,overcast clouds,67.8006,130.4114,
539,ranong,TH,84.6,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
540,tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
542,ahome,MX,85.14,clear sky,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
545,cabo san lucas,MX,89.51,clear sky,22.8909,-109.9124,Tesoro Los Cabos
547,hasaki,JP,71.19,moderate rain,35.7333,140.8333,Hotel Sunrise Choshi
548,saint-joseph,RE,70.16,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
550,sidhauli,IN,78.69,clear sky,27.2833,80.8333,Rainbow Garden
551,nahariyya,IL,71.51,clear sky,33.0059,35.0941,Shtarkman Erna Hotel
554,puerto leguizamo,CO,72.61,broken clouds,-0.1934,-74.7819,la casona de juancho
555,ahvaz,IR,88.59,clear sky,31.3203,48.6693,tashrifat tourism travel agency
556,canutama,BR,75.43,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
561,chalus,IR,70.48,broken clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
562,sola,VU,79.52,broken clouds,-13.8833,167.55,Leumerus Bungalows
565,camaguey,CU,73.8,few clouds,21.3808,-77.9169,Tararaco
569,shiloh,US,74.08,clear sky,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O’Fallon IL
570,cozumel,MX,80.11,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
572,luganville,VU,79.47,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
576,kanniyakumari,IN,81.95,overcast clouds,8.0833,77.5667,Sparsa
577,nongstoin,IN,71.78,light rain,25.5167,91.2667,P.W.D. Inspection Bungalow
580,ponnampet,IN,71.01,light rain,12.15,75.9333,The Yellow Bamboo Resort & Spa
582,pedasi,PA,80.71,overcast clouds,7.5333,-80.0333,Selina Pedasi
585,isangel,VU,77.02,broken clouds,-19.55,169.2667,Tanna Lodge
589,terenos,BR,78.03,overcast clouds,-20.4422,-54.8603,Rancho Pitzer
590,namtsy,RU,77.11,few clouds,62.7161,129.6658,"""Эңсиэли Киин"""
591,san policarpo,PH,84.6,overcast clouds,12.1791,125.5072,JM Lodge
594,nyurba,RU,81.39,broken clouds,63.2842,118.3319,Gostinitsa Alrosa
597,dehloran,IR,89.49,clear sky,32.6941,47.2679,کافه گیم استورم
598,uong bi,VN,80.58,moderate rain,21.0333,106.7833,khach san Trung lien
599,padang,ID,83.03,moderate rain,-0.9492,100.3543,Mercure Padang
600,ankang,CN,72.84,clear sky,32.68,109.0172,安琪酒店
601,mitu,CO,72.18,broken clouds,1.1983,-70.1733,
602,nagapattinam,IN,84.74,overcast clouds,10.7667,79.8333,Sathya Lodge
603,nanhai,CN,76.77,broken clouds,30.1282,111.7784,Jingnan Hotel
604,avera,US,78.85,broken clouds,33.194,-82.5271,
605,juegang,CN,75.38,scattered clouds,32.3174,121.1855,Rudong Y Hotel
606,iberia,US,75.18,clear sky,29.9502,-91.7507,back to back rv park
607,maues,BR,75.04,overcast clouds,-3.3836,-57.7186,Hotel Miramar
609,dapaong,TG,82.56,clear sky,10.8639,0.205,Hotel Caroli
612,porto walter,BR,74.23,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
614,nichinan,JP,76.68,light rain,31.6,131.3667,Guest House Aki
615,sal rei,CV,72.16,few clouds,16.1833,-22.9167,Marine Club Beach Resort
618,tambun,ID,89.11,haze,-6.2641,107.0712,@HOM Premiere Tambun
619,gumdag,TM,71.28,clear sky,39.2061,54.5906,
621,ahuimanu,US,83.75,broken clouds,21.4447,-157.8378,Paradise Bay Resort
623,doka,SD,78.31,few clouds,13.5167,35.7667,
625,ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
628,pemangkat,ID,84.97,overcast clouds,1.1667,108.9667,Ramah Kost KITA
630,jalpan,MX,71.29,overcast clouds,21.2333,-99.4833,Hotel Mision Jalpan
631,abaza,RU,74.66,overcast clouds,52.655,90.0928,Гостевой дом «Кедровый»
633,la grande,US,85.37,clear sky,45.3246,-118.0877,Travelodge by Wyndham La Grande
634,mankono,CI,75.04,overcast clouds,8.0586,-6.1897,Hotel Cajoux
635,sao filipe,CV,73.04,few clouds,14.8961,-24.4956,Hotel Xaguate
638,acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
646,envira,BR,76.86,overcast clouds,-7.3,-70.2167,
647,port keats,AU,88.77,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
648,gainesville,US,75.54,light rain,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
651,sabzevar,IR,85.59,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
652,santa ana,US,84.79,few clouds,33.7456,-117.8678,Santa Ana Travel Inn
655,tual,ID,81.86,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
656,ugoofaaru,MV,82.78,overcast clouds,5.6667,73.0,Ungoofaaru Inn
