City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Arraial Do Cabo,BR,2021-06-01 06:51:13,-22.9661,-42.0278,72.03,86,99,16.58
190,Gat,IL,2021-06-01 06:50:02,31.61,34.7642,85.41,37,0,3.53
191,Kununurra,AU,2021-06-01 06:52:31,-15.7667,128.7333,89.58,33,50,4.61
192,Yeppoon,AU,2021-06-01 06:52:31,-23.1333,150.7333,73.18,73,7,12.1
193,Perry,US,2021-06-01 06:52:32,37.2506,-83.1999,61.52,75,100,3.18
194,Shaki,AZ,2021-06-01 06:52:32,41.0833,47.1667,77.31,41,0,7.05
195,Thompson,CA,2021-06-01 06:52:32,55.7435,-97.8558,42.96,93,40,0.0
196,Faanui,PF,2021-06-01 06:52:33,-16.4833,-151.75,79.59,69,88,15.84
197,Sitka,US,2021-06-01 06:52:33,57.0531,-135.33,53.49,82,90,16.11
198,Narsaq,GL,2021-06-01 06:52:34,60.9167,-46.05,38.07,66,3,6.85
199,Teguldet,RU,2021-06-01 06:52:34,57.3064,88.1667,76.39,24,46,11.79
200,Arecibo,PR,2021-06-01 06:52:34,18.4724,-66.7157,78.01,93,23,9.42
201,Guasdualito,VE,2021-06-01 06:52:35,7.2424,-70.7324,72.19,99,100,2.53
202,Henties Bay,NA,2021-06-01 06:52:35,-22.116,14.2845,51.85,83,0,5.75
203,Mounana,GA,2021-06-01 06:52:36,-1.4085,13.1586,71.51,83,100,2.24
204,Dergachi,RU,2021-06-01 06:52:36,51.2328,48.7659,72.16,65,39,11.86
205,Joao Camara,BR,2021-06-01 06:52:36,-5.5375,-35.8197,70.84,97,16,6.44
206,Talnakh,RU,2021-06-01 06:52:37,69.4865,88.3972,34.66,90,100,1.34
207,Suna,RU,2021-06-01 06:52:37,57.8338,50.0588,57.27,49,68,5.68
208,Mount Pleasant,US,2021-06-01 06:48:38,32.7941,-79.8626,68.0,88,90,1.01
209,Bazarnyye Mataki,RU,2021-06-01 06:52:38,54.8833,49.9333,55.56,75,100,7.87
210,Humaita,BR,2021-06-01 06:51:13,-7.5061,-63.0208,77.85,67,90,2.24
211,Korla,CN,2021-06-01 06:50:15,41.7597,86.1469,91.42,13,100,11.74
212,Luanda,AO,2021-06-01 06:48:49,-8.8368,13.2343,77.0,88,75,1.14
213,Alofi,NU,2021-06-01 06:52:39,-19.0595,-169.9187,75.09,94,75,4.61
214,Pangnirtung,CA,2021-06-01 06:52:40,66.1451,-65.7125,28.2,87,100,7.27
215,Avarua,CK,2021-06-01 06:52:40,-21.2078,-159.775,66.25,88,37,1.14
216,Araouane,ML,2021-06-01 06:52:40,18.9048,-3.5265,92.71,9,100,4.5
217,Flinders,AU,2021-06-01 06:52:41,-34.5833,150.8552,63.18,71,100,1.99
218,Pevek,RU,2021-06-01 06:52:41,69.7008,170.3133,40.78,68,60,6.55
219,Sainte-Claire,CA,2021-06-01 06:52:42,46.6006,-70.8649,49.66,98,20,3.65
220,Falam,MM,2021-06-01 06:52:42,22.9167,93.6833,83.44,40,95,4.25
221,Vila Franca Do Campo,PT,2021-06-01 06:52:43,37.7167,-25.4333,59.41,70,34,16.08
222,Bam,IR,2021-06-01 06:52:18,29.106,58.357,99.09,6,0,7.54
223,Lavrentiya,RU,2021-06-01 06:52:43,65.5833,-171.0,31.66,77,19,11.83
